STATE,YEAR,TOTAL_REVENUE_GROSS,FEDERAL_REVENUE_GROSS,STATE_REVENUE_GROSS,LOCAL_REVENUE_GROSS,TOTAL_EXPENDITURE_GROSS,INSTRUCTION_EXPENDITURE_GROSS,SUPPORT_SERVICES_EXPENDITURE_GROSS,CAPITAL_OUTLAY_EXPENDITURE_GROSS,ENROLMENT_GROSS,RULING_PARTY,POPULATION,AVERAGE_SCORE_GROSS,AM_AVERAGE_SCORE_GROSS,AS_AVERAGE_SCORE_GROSS,HI_AVERAGE_SCORE_GROSS,BL_AVERAGE_SCORE_GROSS,WH_AVERAGE_SCORE_GROSS,HP_AVERAGE_SCORE_GROSS,TR_AVERAGE_SCORE_GROSS,TOTAL_REVENUE_PCT,FEDERAL_REVENUE_PCT,STATE_REVENUE_PCT,LOCAL_REVENUE_PCT,TOTAL_EXPENDITURE_PCT,INSTRUCTION_EXPENDITURE_PCT,SUPPORT_SERVICES_EXPENDITURE_PCT,CAPITAL_OUTLAY_EXPENDITURE_PCT,ENROLMENT_PCT,AVERAGE_SCORE_PCT,AM_AVERAGE_SCORE_PCT,AS_AVERAGE_SCORE_PCT,HI_AVERAGE_SCORE_PCT,BL_AVERAGE_SCORE_PCT,WH_AVERAGE_SCORE_PCT,HP_AVERAGE_SCORE_PCT,TR_AVERAGE_SCORE_PCT,TOTAL_REVENUE_PC,FEDERAL_REVENUE_PC,STATE_REVENUE_PC,LOCAL_REVENUE_PC,TOTAL_EXPENDITURE_PC,INSTRUCTION_EXPENDITURE_PC,SUPPORT_SERVICES_EXPENDITURE_PC,CAPITAL_OUTLAY_EXPENDITURE_PC,ENROLMENT_PC
Alabama,1992,2678885,304177,1659028,715680,2653798,1481703,735036,174053,57948,Republican,4121890,207.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649916664,0.073795516,0.402492061,0.173629088,0.643830379,0.359471747,0.178324992,0.042226503,0.014058599
Arizona,1992,3258079,297888,1369815,1590376,3401580,1435908,1007732,609114,55433,Republican,3958309,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823098702,0.075256378,0.346060654,0.40178167,0.859351809,0.362757935,0.254586491,0.153882378,0.014004212
Arkansas,1992,1711959,178571,958785,574603,1743022,964323,483488,145212,34632,Democrat,2415260,210.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708809404,0.073934483,0.396969684,0.237905236,0.721670545,0.399262605,0.200180519,0.06012272,0.014338829
California,1992,26260025,2072470,16546514,7641041,27138832,14358922,8520926,2044688,418418,Republican,30582346,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85866614,0.067766874,0.541047897,0.249851368,0.887401902,0.469516694,0.278622379,0.066858442,0.013681684
Colorado,1992,3185173,163253,1307986,1713934,3264826,1642466,1035970,364760,50648,Democrat,3495767,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911151401,0.046700195,0.374162809,0.490288397,0.933936959,0.469844243,0.296349843,0.104343339,0.01448838
Connecticut,1992,3834302,143542,1342539,2348221,3721338,2148041,1142600,48542,38058,Independent,3310806,224.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.158117389,0.043355606,0.405502165,0.709259618,1.123997601,0.648797,0.345112338,0.014661687,0.011495086
Delaware,1992,645233,45945,420942,178346,638784,372722,194915,30595,8272,Republican,689654,215.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935589441,0.066620363,0.610366938,0.25860214,0.926238375,0.540447819,0.28262723,0.044362825,0.01199442
Florida,1992,11506299,788420,5683949,5033930,11305642,5166374,3410440,1667826,164416,Democrat,13546816,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.849372945,0.058199654,0.419578224,0.371595067,0.83456083,0.381371829,0.251752146,0.12311572,0.012136874
Georgia,1992,5536901,398701,2798674,2339526,5535942,3043984,1559059,526644,99648,Democrat,6819863,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811878626,0.058461732,0.410371,0.343045894,0.811738007,0.446340931,0.228605619,0.077222079,0.014611437
Idaho,1992,859329,69138,531912,258279,886161,473505,246320,111353,18607,Democrat,1064190,220.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807495842,0.064967722,0.499828038,0.242700082,0.832709385,0.444944042,0.231462427,0.10463639,0.01748466
