STATE,YEAR,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,ENROLMENT,RULING_PARTY,POPULATION,AVERAGE_SCORE,AM_AVERAGE_SCORE,AS_AVERAGE_SCORE,HI_AVERAGE_SCORE,BL_AVERAGE_SCORE,WH_AVERAGE_SCORE,HP_AVERAGE_SCORE,TR_AVERAGE_SCORE,TOTAL_REVENUE_PCT,FEDERAL_REVENUE_PCT,STATE_REVENUE_PCT,LOCAL_REVENUE_PCT,TOTAL_EXPENDITURE_PCT,INSTRUCTION_EXPENDITURE_PCT,SUPPORT_SERVICES_EXPENDITURE_PCT,CAPITAL_OUTLAY_EXPENDITURE_PCT,ENROLMENT_PCT,AVERAGE_SCORE_PCT,AM_AVERAGE_SCORE_PCT,AS_AVERAGE_SCORE_PCT,HI_AVERAGE_SCORE_PCT,BL_AVERAGE_SCORE_PCT,WH_AVERAGE_SCORE_PCT,HP_AVERAGE_SCORE_PCT,TR_AVERAGE_SCORE_PCT,TOTAL_REVENUE_PC,FEDERAL_REVENUE_PC,STATE_REVENUE_PC,LOCAL_REVENUE_PC,TOTAL_EXPENDITURE_PC,INSTRUCTION_EXPENDITURE_PC,SUPPORT_SERVICES_EXPENDITURE_PC,CAPITAL_OUTLAY_EXPENDITURE_PC,ENROLMENT_PC
Alabama,1992,2678885.0,304177.0,1659028.0,715680.0,2653798.0,1481703.0,735036.0,174053.0,57948.0,Republican,4121890,207.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6499166644427677,0.07379551613458875,0.4024920606809013,0.17362908762727775,0.6438303787825488,0.3594717471839375,0.17832499169070498,0.042226502890664236,0.0140585993318599
Arizona,1992,3258079.0,297888.0,1369815.0,1590376.0,3401580.0,1435908.0,1007732.0,609114.0,55433.0,Republican,3958309,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8230987019962313,0.07525637841815785,0.3460606536781237,0.4017816698999497,0.8593518090679632,0.3627579352698336,0.2545864913527469,0.15388237755061568,0.014004212404842571
Arkansas,1992,1711959.0,178571.0,958785.0,574603.0,1743022.0,964323.0,483488.0,145212.0,34632.0,Democrat,2415260,210.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7088094035424758,0.07393448324403998,0.39696968442320907,0.2379052358752267,0.7216705447860686,0.39926260526816987,0.20018051886753396,0.060122719707195085,0.014338828945951988
California,1992,26260025.0,2072470.0,16546514.0,7641041.0,27138832.0,14358922.0,8520926.0,2044688.0,418418.0,Republican,30582346,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8586661402627516,0.06776687439217384,0.5410478973719021,0.2498513684986757,0.8874019017376888,0.4695166943700134,0.27862237906797604,0.06685844179514548,0.013681684197804838
Colorado,1992,3185173.0,163253.0,1307986.0,1713934.0,3264826.0,1642466.0,1035970.0,364760.0,50648.0,Democrat,3495767,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9111514011088268,0.04670019483563979,0.3741628089057423,0.4902883973674447,0.9339369586130885,0.469844243051668,0.29634984253813257,0.10434333867217124,0.014488379803345016
Connecticut,1992,3834302.0,143542.0,1342539.0,2348221.0,3721338.0,2148041.0,1142600.0,48542.0,38058.0,Independent,3310806,224.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1581173889379202,0.043355605855492585,0.4055021647296761,0.7092596183527515,1.123997600584269,0.6487969998846203,0.34511233820405063,0.014661686610450747,0.011495086090818972
Delaware,1992,645233.0,45945.0,420942.0,178346.0,638784.0,372722.0,194915.0,30595.0,8272.0,Republican,689654,215.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9355894405020488,0.06662036325461754,0.6103669376237939,0.2586021396236374,0.9262383746052368,0.5404478187612919,0.2826272304662918,0.04436282541680321,0.011994420390514664
Florida,1992,11506299.0,788420.0,5683949.0,5033930.0,11305642.0,5166374.0,3410440.0,1667826.0,164416.0,Democrat,13546816,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8493729449045444,0.05819965370460482,0.4195782241376867,0.3715950670622529,0.8345608296443976,0.38137182936566055,0.251752146039335,0.12311571959049272,0.012136874081703036
Georgia,1992,5536901.0,398701.0,2798674.0,2339526.0,5535942.0,3043984.0,1559059.0,526644.0,99648.0,Democrat,6819863,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8118786257143289,0.05846173156264281,0.4103710001212634,0.3430458940304226,0.8117380070538074,0.4463409308955327,0.2286056186172655,0.07722207909455073,0.014611437209222531
Idaho,1992,859329.0,69138.0,531912.0,258279.0,886161.0,473505.0,246320.0,111353.0,18607.0,Democrat,1064190,220.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8074958419079301,0.06496772192935472,0.4998280382262566,0.24270008175231866,0.8327093846023736,0.4449440419473966,0.231462426822278,0.10463639011830594,0.017484659694227536
Illinois,1992,9748650.0,597077.0,3073178.0,6078395.0,9850560.0,5010400.0,3148849.0,727858.0,133120.0,Republican,11628340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8383526797462062,0.05134670984852524,0.26428346608372305,0.5227225038139579,0.8471166133773178,0.4308783540900937,0.2707909297457763,0.06259345701966057,0.011447893680439341
